source_entity_ref,metric_name,metric_value,timestamp,model_type,dimensions
agent://clinical-decision-support-agen,task_completion,0.9088,2026-05-02T14:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,groundedness,0.9513,2026-05-02T14:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,safety,0.9351,2026-05-02T14:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,input_tokens,2490,2026-05-02T14:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,output_tokens,2399,2026-05-02T14:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,cost_per_day,3.71,2026-05-02T14:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,task_completion,0.9095,2026-05-03T17:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,groundedness,0.9269,2026-05-03T17:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,safety,0.9573,2026-05-03T17:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,input_tokens,1595,2026-05-03T17:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,output_tokens,769,2026-05-03T17:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,cost_per_day,4.45,2026-05-03T17:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,task_completion,0.9434,2026-05-05T06:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,groundedness,0.8887,2026-05-05T06:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,safety,0.9786,2026-05-05T06:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,input_tokens,2689,2026-05-05T06:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,output_tokens,599,2026-05-05T06:00:00Z,agent,"{""cohort"": ""all""}"
agent://clinical-decision-support-agen,cost_per_day,6.52,2026-05-05T06:00:00Z,agent,"{""cohort"": ""all""}"
