source_entity_ref,cohort_name,cohort_dim,metric_name,value,sample_size,timestamp
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.8622,2622,2026-05-02T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.9352,453,2026-05-02T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.9119,1401,2026-05-02T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.9011,3202,2026-05-02T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.9168,4296,2026-05-02T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.9187,1986,2026-05-02T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.8621,2471,2026-05-02T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.929,4158,2026-05-02T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.9162,2192,2026-05-02T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.9599,1331,2026-05-02T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.876,4976,2026-05-02T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.9439,1310,2026-05-02T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.9561,1009,2026-05-08T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.9234,3480,2026-05-08T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.9393,1710,2026-05-08T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.8926,1834,2026-05-08T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.9336,276,2026-05-08T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.8838,1217,2026-05-08T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.8922,2650,2026-05-08T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.9198,4668,2026-05-08T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.8704,1266,2026-05-08T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.8667,208,2026-05-08T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.9691,802,2026-05-08T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.88,1343,2026-05-08T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.9454,1717,2026-05-14T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.9009,4113,2026-05-14T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.8776,1568,2026-05-14T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.9277,1444,2026-05-14T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.8812,1629,2026-05-14T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.8906,2748,2026-05-14T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.9318,2608,2026-05-14T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.8626,3187,2026-05-14T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.9456,4525,2026-05-14T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.9619,553,2026-05-14T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.8801,3313,2026-05-14T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.9348,4835,2026-05-14T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.8949,321,2026-05-20T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.9338,4040,2026-05-20T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.8904,2814,2026-05-20T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.9137,757,2026-05-20T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.8784,1591,2026-05-20T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.9243,2313,2026-05-20T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.912,271,2026-05-20T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.9279,4075,2026-05-20T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.876,193,2026-05-20T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.8976,3020,2026-05-20T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.8848,901,2026-05-20T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.9037,1061,2026-05-20T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.9188,828,2026-05-26T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.8631,3470,2026-05-26T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.9296,4993,2026-05-26T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.9069,1202,2026-05-26T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.9365,4465,2026-05-26T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.8932,3932,2026-05-26T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.9266,3982,2026-05-26T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.9031,3061,2026-05-26T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.8985,191,2026-05-26T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.9532,981,2026-05-26T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.8735,2278,2026-05-26T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.8883,3791,2026-05-26T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.8871,4972,2026-06-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.9488,1525,2026-06-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.865,3986,2026-06-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.938,1288,2026-06-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.9022,4205,2026-06-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.8957,655,2026-06-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.9113,1303,2026-06-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.8979,517,2026-06-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.9465,3538,2026-06-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.8791,313,2026-06-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.8923,280,2026-06-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.966,4084,2026-06-01T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,18-30,age_group,accuracy,0.9616,936,2026-06-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,31-45,age_group,accuracy,0.9384,1799,2026-06-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,46-60,age_group,accuracy,0.8806,2464,2026-06-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,61-75,age_group,accuracy,0.9056,257,2026-06-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,75+,age_group,accuracy,0.8542,3682,2026-06-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Female,sex,accuracy,0.9516,4714,2026-06-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Male,sex,accuracy,0.8846,2219,2026-06-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Other,sex,accuracy,0.9497,1083,2026-06-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Commercial,insurance,accuracy,0.8773,2856,2026-06-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicare,insurance,accuracy,0.8831,1587,2026-06-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Medicaid,insurance,accuracy,0.8946,4685,2026-06-07T16:00:00Z
mlflow://experiment-1/patient-readmission-risk,Self-pay,insurance,accuracy,0.9382,3853,2026-06-07T16:00:00Z
