source_entity_ref,feature,missing_rate,outlier_rate,schema_valid,row_count,timestamp
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0151,0.0041,true,32900,2026-05-02T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.018,0.0039,true,41570,2026-05-02T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0129,0.0055,true,21152,2026-05-02T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0125,0.0063,true,46554,2026-05-02T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0081,0.0068,true,9757,2026-05-02T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0161,0.0069,true,17583,2026-05-02T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0131,0.0029,true,36687,2026-05-02T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0125,0.0063,true,11828,2026-05-02T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0,0.0045,true,43028,2026-05-02T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0119,0.006,true,44422,2026-05-02T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0086,0.0066,true,37459,2026-05-05T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.0066,0.0063,true,29304,2026-05-05T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0108,0.004,true,20766,2026-05-05T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0127,0.0032,true,40468,2026-05-05T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0053,0.0016,true,43998,2026-05-05T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0089,0.0047,false,35956,2026-05-05T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0126,0.0063,true,25492,2026-05-05T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0064,0.005,true,44810,2026-05-05T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0222,0,true,32104,2026-05-05T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0201,0.0059,true,6871,2026-05-05T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0184,0.0059,true,45575,2026-05-08T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.0093,0.0067,true,17572,2026-05-08T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.01,0.0042,true,23079,2026-05-08T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0095,0.006,true,11726,2026-05-08T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.011,0.0038,true,28852,2026-05-08T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0145,0.0043,true,9849,2026-05-08T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.012,0.006,true,35822,2026-05-08T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0081,0.0047,true,49177,2026-05-08T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0119,0.0038,true,36908,2026-05-08T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0097,0.0037,true,38037,2026-05-08T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0098,0.0063,true,15847,2026-05-11T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.0071,0.0053,true,33444,2026-05-11T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0018,0.0044,true,5783,2026-05-11T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0107,0.0082,true,6794,2026-05-11T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0039,0.0048,true,32718,2026-05-11T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0036,0.0029,true,14492,2026-05-11T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0086,0.0067,true,22317,2026-05-11T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0122,0.0025,true,23548,2026-05-11T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0017,0.005,true,21616,2026-05-11T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0115,0.0044,true,48964,2026-05-11T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0065,0.0056,true,24604,2026-05-14T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.0125,0.0039,true,15830,2026-05-14T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0084,0.0045,true,49007,2026-05-14T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0141,0.0047,true,38007,2026-05-14T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.011,0.0038,true,47844,2026-05-14T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0084,0.0045,true,17292,2026-05-14T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0169,0.006,true,36153,2026-05-14T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0136,0.0029,true,31950,2026-05-14T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0031,0.005,true,21746,2026-05-14T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0082,0.0051,true,23779,2026-05-14T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0146,0.0047,true,26158,2026-05-17T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.005,0.0037,true,28265,2026-05-17T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0149,0.0036,true,43637,2026-05-17T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0148,0.0085,true,42105,2026-05-17T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0162,0.005,true,35915,2026-05-17T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0082,0.0005,true,45423,2026-05-17T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0129,0.0019,true,26913,2026-05-17T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0059,0.0057,true,11875,2026-05-17T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0166,0.0078,true,19621,2026-05-17T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.017,0.0076,true,14495,2026-05-17T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0037,0.0046,true,11860,2026-05-20T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0,0.0071,true,47469,2026-05-20T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0032,0.0066,true,10995,2026-05-20T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0067,0.0052,true,49490,2026-05-20T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0035,0.0054,true,48401,2026-05-20T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0107,0.0027,true,11174,2026-05-20T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0058,0.0061,true,47795,2026-05-20T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0135,0.0049,true,34135,2026-05-20T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.01,0.0042,true,40815,2026-05-20T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0196,0.0022,true,5626,2026-05-20T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0078,0.0035,true,21118,2026-05-23T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.0148,0.0075,true,8752,2026-05-23T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0035,0.0031,true,39017,2026-05-23T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0087,0.0058,true,45772,2026-05-23T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0094,0.0051,true,20835,2026-05-23T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0243,0.0056,true,30229,2026-05-23T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0,0.0047,true,42184,2026-05-23T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0152,0.0041,true,41902,2026-05-23T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0052,0.0059,true,39275,2026-05-23T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0084,0.0032,true,18917,2026-05-23T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0083,0.0063,true,17106,2026-05-26T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.0145,0.0035,true,36516,2026-05-26T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0041,0.006,true,28884,2026-05-26T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0082,0.0068,true,45177,2026-05-26T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0204,0.0038,true,13738,2026-05-26T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0058,0.0047,false,13866,2026-05-26T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0111,0.005,true,7997,2026-05-26T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0092,0.0004,true,15542,2026-05-26T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0118,0.0066,true,38593,2026-05-26T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0142,0.0038,true,37437,2026-05-26T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0163,0.0032,true,48354,2026-05-29T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.0096,0.0062,true,28018,2026-05-29T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0086,0.0052,true,31493,2026-05-29T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.015,0.0009,true,36508,2026-05-29T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0141,0.0078,true,31534,2026-05-29T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0041,0.0084,true,7565,2026-05-29T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0064,0.0056,true,42685,2026-05-29T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0152,0.0073,true,29194,2026-05-29T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.007,0.0054,true,27055,2026-05-29T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0081,0.0039,true,46932,2026-05-29T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0103,0.001,true,35209,2026-06-01T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.001,0.0092,true,8193,2026-06-01T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0055,0.0032,true,49302,2026-06-01T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0119,0.0052,true,40310,2026-06-01T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0143,0.0072,true,46534,2026-06-01T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0029,0.0043,true,12957,2026-06-01T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0163,0.0036,true,5344,2026-06-01T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.01,0.0014,true,39342,2026-06-01T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0076,0.0079,true,17650,2026-06-01T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0057,0.0061,true,24161,2026-06-01T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0146,0.0045,true,28287,2026-06-04T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.0016,0.0068,true,26996,2026-06-04T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0086,0.0057,true,46052,2026-06-04T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0069,0.0071,true,14082,2026-06-04T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0218,0.0054,true,17612,2026-06-04T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0094,0.0075,true,18133,2026-06-04T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0121,0.0072,true,48394,2026-06-04T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0089,0.0073,true,18036,2026-06-04T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0214,0.0065,true,12447,2026-06-04T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0091,0.006,true,18723,2026-06-04T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0061,0.0041,true,45893,2026-06-07T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.0075,0.0076,true,33124,2026-06-07T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0166,0.0034,true,30204,2026-06-07T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0109,0.0073,true,39121,2026-06-07T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0108,0.0052,true,49959,2026-06-07T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.015,0.0022,true,25750,2026-06-07T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0007,0.0097,true,43693,2026-06-07T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0105,0.0036,true,9266,2026-06-07T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0228,0.0027,false,48818,2026-06-07T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0087,0.0028,true,9718,2026-06-07T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0145,0.0058,true,23055,2026-06-10T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.007,0.0061,true,6023,2026-06-10T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0144,0.0031,true,30497,2026-06-10T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0116,0.0048,true,30482,2026-06-10T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0038,0.0054,true,34867,2026-06-10T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0085,0.0018,true,34943,2026-06-10T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0075,0.0059,true,32823,2026-06-10T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0069,0.0032,true,45014,2026-06-10T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0189,0.004,true,9265,2026-06-10T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0091,0.0041,true,45953,2026-06-10T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0115,0.009,true,28797,2026-06-13T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.0174,0.0041,true,18520,2026-06-13T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0113,0.0008,true,31304,2026-06-13T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0079,0.0024,true,34641,2026-06-13T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.0101,0.0074,true,37199,2026-06-13T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0172,0.0072,true,21656,2026-06-13T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.004,0.007,true,10657,2026-06-13T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0147,0.0058,true,14643,2026-06-13T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0155,0.0055,false,27984,2026-06-13T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0095,0.0041,true,29024,2026-06-13T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.008,0.0074,true,41275,2026-06-16T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.0061,0.006,true,15174,2026-06-16T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.0171,0.0019,false,18485,2026-06-16T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.0145,0.0072,true,46061,2026-06-16T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.012,0.0012,true,22048,2026-06-16T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0102,0.0066,true,31393,2026-06-16T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0155,0.0073,true,37011,2026-06-16T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.0142,0.0031,true,15873,2026-06-16T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0061,0.0063,true,32637,2026-06-16T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0181,0.0087,true,45116,2026-06-16T14:00:00Z
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.0088,0.0026,true,31390,2026-06-19T14:00:00Z
