source_entity_ref,drift_type,scope,value,timestamp,status
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0661,2026-05-02T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0522,2026-05-02T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.065,2026-05-02T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0,2026-05-02T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0385,2026-05-05T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0814,2026-05-05T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0021,2026-05-05T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0,2026-05-05T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0575,2026-05-08T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0874,2026-05-08T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0742,2026-05-08T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0292,2026-05-08T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.065,2026-05-11T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.1464,2026-05-11T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.1235,2026-05-11T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0,2026-05-11T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.1086,2026-05-14T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0423,2026-05-14T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0473,2026-05-14T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.1238,2026-05-14T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0481,2026-05-17T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0662,2026-05-17T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.1137,2026-05-17T18:00:00Z,warning
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0946,2026-05-17T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,overall,0.0321,2026-05-20T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:length_of_stay,0.0357,2026-05-20T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:prior_admissions,0.0827,2026-05-20T18:00:00Z,normal
mlflow://experiment-1/patient-readmission-risk,psi,feature:comorbidity_index,0.0848,2026-05-20T18:00:00Z,normal
