source_entity_ref,feature,importance,timestamp
mlflow://experiment-1/patient-readmission-risk,length_of_stay,0.1409,2026-07-31T12:00:00Z
mlflow://experiment-1/patient-readmission-risk,prior_admissions,0.1361,2026-07-31T12:00:00Z
mlflow://experiment-1/patient-readmission-risk,comorbidity_index,0.1338,2026-07-31T12:00:00Z
mlflow://experiment-1/patient-readmission-risk,discharge_code,0.126,2026-07-31T12:00:00Z
mlflow://experiment-1/patient-readmission-risk,diagnosis_icd10,0.1183,2026-07-31T12:00:00Z
mlflow://experiment-1/patient-readmission-risk,med_count,0.0974,2026-07-31T12:00:00Z
mlflow://experiment-1/patient-readmission-risk,lab_abnormal,0.0726,2026-07-31T12:00:00Z
mlflow://experiment-1/patient-readmission-risk,insurance_type,0.064,2026-07-31T12:00:00Z
mlflow://experiment-1/patient-readmission-risk,days_since_ed,0.0602,2026-07-31T12:00:00Z
mlflow://experiment-1/patient-readmission-risk,social_risk,0.0506,2026-07-31T12:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,drug_interactions,0.1912,2026-07-31T12:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,dosage_ratio,0.1603,2026-07-31T12:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,renal_function,0.1431,2026-07-31T12:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,liver_function,0.1332,2026-07-31T12:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,allergy_flag,0.1073,2026-07-31T12:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,age,0.0628,2026-07-31T12:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,weight,0.0552,2026-07-31T12:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,concurrent_meds,0.055,2026-07-31T12:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,route,0.0481,2026-07-31T12:00:00Z
mlflow://experiment-2/adverse-drug-event-detector,frequency,0.0438,2026-07-31T12:00:00Z
mlflow://experiment-3/clinical-trial-enrollment-pred,site_capacity,0.156,2026-07-31T12:00:00Z
mlflow://experiment-3/clinical-trial-enrollment-pred,protocol_complexity,0.1466,2026-07-31T12:00:00Z
mlflow://experiment-3/clinical-trial-enrollment-pred,disease_prevalence,0.1433,2026-07-31T12:00:00Z
mlflow://experiment-3/clinical-trial-enrollment-pred,competition_score,0.1177,2026-07-31T12:00:00Z
mlflow://experiment-3/clinical-trial-enrollment-pred,pi_experience,0.1149,2026-07-31T12:00:00Z
mlflow://experiment-3/clinical-trial-enrollment-pred,geo_distance,0.1028,2026-07-31T12:00:00Z
mlflow://experiment-3/clinical-trial-enrollment-pred,insurance_coverage,0.093,2026-07-31T12:00:00Z
mlflow://experiment-3/clinical-trial-enrollment-pred,demographics_match,0.0499,2026-07-31T12:00:00Z
mlflow://experiment-3/clinical-trial-enrollment-pred,referral_network,0.038,2026-07-31T12:00:00Z
mlflow://experiment-3/clinical-trial-enrollment-pred,seasonal_factor,0.0378,2026-07-31T12:00:00Z
mlflow://experiment-4/disease-progression-forecaster,baseline_severity,0.2324,2026-07-31T12:00:00Z
mlflow://experiment-4/disease-progression-forecaster,biomarker_trend,0.192,2026-07-31T12:00:00Z
mlflow://experiment-4/disease-progression-forecaster,treatment_adherence,0.1842,2026-07-31T12:00:00Z
mlflow://experiment-4/disease-progression-forecaster,comorbidity_count,0.1099,2026-07-31T12:00:00Z
mlflow://experiment-4/disease-progression-forecaster,age,0.1024,2026-07-31T12:00:00Z
mlflow://experiment-4/disease-progression-forecaster,bmi,0.0671,2026-07-31T12:00:00Z
mlflow://experiment-4/disease-progression-forecaster,activity_level,0.0581,2026-07-31T12:00:00Z
mlflow://experiment-4/disease-progression-forecaster,genetic_risk,0.0371,2026-07-31T12:00:00Z
mlflow://experiment-4/disease-progression-forecaster,environmental_exposure,0.0146,2026-07-31T12:00:00Z
mlflow://experiment-4/disease-progression-forecaster,social_support,0.0022,2026-07-31T12:00:00Z
mlflow://experiment-5/medical-image-anomaly-detector,pixel_intensity_mean,0.1887,2026-07-31T12:00:00Z
mlflow://experiment-5/medical-image-anomaly-detector,texture_entropy,0.1867,2026-07-31T12:00:00Z
mlflow://experiment-5/medical-image-anomaly-detector,shape_regularity,0.1539,2026-07-31T12:00:00Z
mlflow://experiment-5/medical-image-anomaly-detector,contrast_ratio,0.1113,2026-07-31T12:00:00Z
mlflow://experiment-5/medical-image-anomaly-detector,edge_density,0.0945,2026-07-31T12:00:00Z
mlflow://experiment-5/medical-image-anomaly-detector,region_size,0.0839,2026-07-31T12:00:00Z
mlflow://experiment-5/medical-image-anomaly-detector,symmetry_score,0.0698,2026-07-31T12:00:00Z
mlflow://experiment-5/medical-image-anomaly-detector,calcification_count,0.0499,2026-07-31T12:00:00Z
mlflow://experiment-5/medical-image-anomaly-detector,density_category,0.0399,2026-07-31T12:00:00Z
