source_entity_ref,metric_name,metric_value,timestamp,model_type,dimensions
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9526,2026-05-03T08:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9506,2026-05-03T08:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9402,2026-05-03T08:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9455,2026-05-03T08:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9531,2026-05-03T08:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9499,2026-05-04T05:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9489,2026-05-04T05:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9454,2026-05-04T05:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9469,2026-05-04T05:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9413,2026-05-04T05:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9297,2026-05-05T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9323,2026-05-05T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9367,2026-05-05T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9248,2026-05-05T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9304,2026-05-05T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9453,2026-05-05T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9404,2026-05-05T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9389,2026-05-05T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9453,2026-05-05T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9255,2026-05-05T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9388,2026-05-06T22:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9469,2026-05-06T22:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9404,2026-05-06T22:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9354,2026-05-06T22:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9331,2026-05-06T22:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9465,2026-05-07T23:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9256,2026-05-07T23:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.929,2026-05-07T23:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9384,2026-05-07T23:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9277,2026-05-07T23:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9473,2026-05-09T00:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.944,2026-05-09T00:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9256,2026-05-09T00:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9249,2026-05-09T00:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9358,2026-05-09T00:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.945,2026-05-09T14:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9469,2026-05-09T14:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.942,2026-05-09T14:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.939,2026-05-09T14:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.944,2026-05-09T14:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9465,2026-05-10T19:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9327,2026-05-10T19:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9219,2026-05-10T19:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9455,2026-05-10T19:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9449,2026-05-10T19:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.948,2026-05-12T09:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9375,2026-05-12T09:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9634,2026-05-12T09:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9318,2026-05-12T09:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.929,2026-05-12T09:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9327,2026-05-12T17:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9384,2026-05-12T17:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9323,2026-05-12T17:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9419,2026-05-12T17:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9536,2026-05-12T17:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9331,2026-05-13T19:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9323,2026-05-13T19:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,,2026-05-13T19:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9412,2026-05-13T19:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9329,2026-05-13T19:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9434,2026-05-14T13:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9305,2026-05-14T13:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9602,2026-05-14T13:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9489,2026-05-14T13:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9255,2026-05-14T13:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9335,2026-05-15T18:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9344,2026-05-15T18:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9317,2026-05-15T18:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9495,2026-05-15T18:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9343,2026-05-15T18:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9506,2026-05-16T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9527,2026-05-16T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9239,2026-05-16T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.936,2026-05-16T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9281,2026-05-16T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9458,2026-05-17T23:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9466,2026-05-17T23:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.974,2026-05-17T23:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9356,2026-05-17T23:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9397,2026-05-17T23:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9437,2026-05-18T13:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9356,2026-05-18T13:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9481,2026-05-18T13:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9528,2026-05-18T13:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9319,2026-05-18T13:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9344,2026-05-20T07:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9523,2026-05-20T07:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9397,2026-05-20T07:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9595,2026-05-20T07:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9364,2026-05-20T07:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9379,2026-05-20T12:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9355,2026-05-20T12:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9525,2026-05-20T12:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.929,2026-05-20T12:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,NOT_A_NUMBER,2026-05-20T12:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9309,2026-05-21T21:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9299,2026-05-21T21:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9444,2026-05-21T21:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9596,2026-05-21T21:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9342,2026-05-21T21:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9567,2026-05-22T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.937,2026-05-22T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9353,2026-05-22T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9398,2026-05-22T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9264,2026-05-22T20:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9264,2026-05-24T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9355,2026-05-24T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9364,2026-05-24T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.941,2026-05-24T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9276,2026-05-24T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.9518,2026-05-25T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9334,2026-05-25T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,recall,0.9351,2026-05-25T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,f1_score,0.9403,2026-05-25T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,auc_roc,0.9211,2026-05-25T04:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,accuracy,0.962,2026-05-25T21:00:00Z,classification,"{""cohort"": ""all""}"
mlflow://experiment-1/patient-readmission-risk,precision,0.9405,2026-05-25T21:00:00Z,classification,"{""cohort"": ""all""}"
